product_title,product_image,price,pack_size,price_per_unit
MAMIA®Unisex Crawler Nappies 6kg-11kg 56pk,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2022/Q2/1000838-2_BABY-NAPPY_PD_388x314_3.jpg,$11.49,56pk,21c per nappy
Mamia Baby Wipes Embossed Scented 80pk,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2022/Q1/1000855_ALN-11_PD_Q1_WEB-AUDIT_388x314_2.jpg,$2.69,,$3.36 per 100 wipes
Mamia Baby Wipes Embossed Fragrance Free 80pk,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2022/Q1/1000855_ALN-11_PD_Q1_WEB-AUDIT_388x314_1.jpg,$2.69,,$3.36 per 100 wipes
PRINCE Anti-perspirant Roll-on Deodorant 75ml,,$2.69,,$3.59 per 100ml
Tricare Goat’s Milk Soap 3 pack,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/2022/Q1/Products/1000855_ALN-11_PD_Q1_WEB-AUDIT_388x314_26.jpg,$3.99,3pk,$1.33 per 100g
Ombra Sunscreen SPF50+ 100ml,,$2.89,ea,$2.89 per 100ml
LACURA®Beauty Foundation with Sunscreen,,$5.99,ea,$1.20 per 10ml
Lacura Naturals Premium Cleansing Wipes 25pk,,$2.99,25pk,12c each
LACURA®Naturals Anti-Aging Eye Cream with Tiger Grass & Silk Protein 15ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_PD_388x314_22.jpg,$8.99,,$59.93 per 100ml
PRINCE Calibre Razor 6 blade system with 3 cartridges,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_NEW-PD_388x314_13.jpg,$8.99,ea,$8.99 each
Verde Hand Wash Refill 1L,,$8.49,,85c per 100ml
Verde Hand Wash 500ml,,$4.99,,$1 per 100ml
Protane Argan Oil or Coconut Milk Conditioner 400ml,,$5.99,ea,$1.50 per 100ml
Protane Argan Oil or Coconut Milk Shampoo 400ml,,$5.99,ea,$1.50 per 100ml
PRINCE Anti-perspirant Men’s Aerosol 150g,,$2.99,,$2 per 100g
LACURA®Naturals Anti-Aging Serum with Ginger Extract & Silk Protein 30ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_PD_388x314_21.jpg,$8.99,,$29.97 per 100ml
LACURA®Naturals Anti-Aging Night Cream with Rice Bran Oil & Silk Protein 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_PD_388x314_23.jpg,$8.99,,$17.98 per 100ml
LACURA®Naturals Anti-Aging Day Cream with Liquorice Extract Oil & Silk Protein 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_PD_388x314_24.jpg,$8.99,,$17.98 per 100ml
LACURA®Naturals Invigorating Exfoliating Facial Scrub 150ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_EXISTING_PD_388x314_17.jpg,$5.49,,$3.66 per 100ml
LACURA®Extract From Nature Purifying Facial Scrub 150ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/2022/Q3/Products/1001349_ALN-2_PD_Q3_WEB-AUDIT_388x314_55a.jpg,$5.49,,$3.66 per 100ml
LACURA®Naturals Pore Cleansing Clarifying Facial Scrub 150ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/2022/Q3/Products/1001349_ALN-2_PD_Q3_WEB-AUDIT_388x314_36a.jpg,$5.49,,$3.66 per 100ml
LACURA®Naturals Revitalising Facial Foaming Cleanser 150ml,,$3.99,,$2.66 per 100ml
LACURA® Skin Science Revitalise Expert Face Care Eye Cream 15ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Health___Beauty/2021/Q3/ALN3510_Q3_BEAUTY_PD_388x314_5.jpg,$12.99,,$86.60 per 100ml
LACURA® Skin Science Revitalise Expert Face Care Neck Cream 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Health___Beauty/2021/Q3/ALN3510_Q3_BEAUTY_PD_388x314_4.jpg,$12.99,,$25.98 per 100ml
LACURA® Skin Science Revitalise Expert Face Care Day Cream 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_3.jpg,$12.99,,$25.98 per 100ml
LACURA®Revitalise Mature Skin Serum 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_15.jpg,$9.99,,$19.98 per 100ml
LACURA® Revitalise Face Cream for Mature Skin – Night Cream 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_2.jpg,$9.99,,$19.98 per 100ml
LACURA® Revitalise Face Cream for Mature Skin – Day Cream 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_.jpg,$9.99,,$19.98 per 100ml
LACURA®Essentials Revitalise Cleansing Wipes 30pk,https://www.aldi.com.au/fileadmin/fm-dam/images/The_Block/Fuelling_the_Block_2016/ALC7782_THE_BLOCK_PD_388x314_48.jpg,$1.69,,6c per wipe
LACURA®Skin Science Revitalise Expert Eye Cream 15ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_5.jpg,$11.99,,$79.93 per 100ml
LACURA®Skin Science Revitalise Expert Neck & Décolleté Serum 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_4.jpg,$11.99,,$23.98 per 100ml
LACURA® Revive Intensive Serum Moisture Boost 15ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_EXISTING_PD_388x314_14.jpg,$12.99,,$86.60 per 100ml
